city,state_id,state_name
Amana,IA,Iowa
Amanda,OH,Ohio
Amanda Park,WA,Washington
Amargosa,TX,Texas
Amarillo,TX,Texas
Amasa,MI,Michigan
Amaya,TX,Texas
Amazonia,MO,Missouri
Amber,OK,Oklahoma
Amberg,WI,Wisconsin
Amberley,OH,Ohio
Ambia,IN,Indiana
Ambler,AK,Alaska
Ambler,PA,Pennsylvania
Amboy,IL,Illinois
Amboy,IN,Indiana
Amboy,MN,Minnesota
Amboy,WA,Washington
Ambridge,PA,Pennsylvania
Ambrose,GA,Georgia
Ambrose,ND,North Dakota
Amelia,LA,Louisiana
Amelia,OH,Ohio
Amelia Court House,VA,Virginia
Amenia,ND,North Dakota
American Canyon,CA,California
American Falls,ID,Idaho
American Fork,UT,Utah
Americus,GA,Georgia
Americus,IN,Indiana
Americus,KS,Kansas
Amery,WI,Wisconsin
Ames,IA,Iowa
Ames,NE,Nebraska
Ames,NY,New York
Ames,OK,Oklahoma
Ames,TX,Texas
Ames Lake,WA,Washington
Amesbury Town,MA,Massachusetts
Amesti,CA,California
Amesville,OH,Ohio
Amherst,CO,Colorado
Amherst,NE,Nebraska
Amherst,OH,Ohio
Amherst,TX,Texas
Amherst,VA,Virginia
Amherst,WI,Wisconsin
Amherst Center,MA,Massachusetts
Amherst Junction,WI,Wisconsin
Amherstdale,WV,West Virginia
Amidon,ND,North Dakota
Amistad,TX,Texas
Amite City,LA,Louisiana
Amity,AR,Arkansas
Amity,MO,Missouri
Amity,OR,Oregon
Amity Gardens,PA,Pennsylvania
Amityville,NY,New York
Ammon,ID,Idaho
Amo,IN,Indiana
Amoret,MO,Missouri
Amorita,OK,Oklahoma
Amory,MS,Mississippi
Amsterdam,MO,Missouri
Amsterdam,MT,Montana
Amsterdam,NY,New York
Amsterdam,OH,Ohio
Anacoco,LA,Louisiana
Anaconda,MT,Montana
Anacortes,WA,Washington
Anacua,TX,Texas
Anadarko,OK,Oklahoma
Anaheim,CA,California
Anahola,HI,Hawaii
Anahuac,TX,Texas
Anaktuvuk Pass,AK,Alaska
Anamoose,ND,North Dakota
Anamosa,IA,Iowa
Anawalt,WV,West Virginia
Anchor,IL,Illinois
Anchor Bay,CA,California
Anchor Point,AK,Alaska
Anchorage,AK,Alaska
Anchorage,KY,Kentucky
Ancient Oaks,PA,Pennsylvania
Andale,KS,Kansas
Andalusia,AL,Alabama
Andalusia,IL,Illinois
Anderson,AK,Alaska
Anderson,AL,Alabama
Anderson,CA,California
Anderson,IA,Iowa
Anderson,IN,Indiana
Anderson,MO,Missouri
Anderson,NJ,New Jersey
Anderson,SC,South Carolina
Anderson,SD,South Dakota
Anderson,TX,Texas
Anderson Island,WA,Washington
Andersonville,GA,Georgia
Andersonville,OH,Ohio
Andersonville,TN,Tennessee
Andover,IA,Iowa
Andover,IL,Illinois
Andover,KS,Kansas
Andover,MN,Minnesota
Andover,NJ,New Jersey
Andover,NY,New York
Andover,OH,Ohio
Andover,SD,South Dakota
Andrew,IA,Iowa
Andrews,FL,Florida
Andrews,IN,Indiana
Andrews,NC,North Carolina
Andrews,SC,South Carolina
Andrews,TX,Texas
Andrews AFB,MD,Maryland
Anegam,AZ,Arizona
Aneta,ND,North Dakota
Aneth,UT,Utah
Angel Fire,NM,New Mexico
Angelica,NY,New York
Angelica,WI,Wisconsin
Angels,CA,California
Angie,LA,Louisiana
Angier,NC,North Carolina
Angle Inlet,MN,Minnesota
Angleton,TX,Texas
Angola,IN,Indiana
Angola,NY,New York
Angola on the Lake,NY,New York
Angoon,AK,Alaska
Anguilla,MS,Mississippi
Angus,TX,Texas
Angwin,CA,California
Aniak,AK,Alaska
Animas,NM,New Mexico
Animas,PR,Puerto Rico
Anita,IA,Iowa
Aniwa,WI,Wisconsin
Ankeny,IA,Iowa
Anmoore,WV,West Virginia
Ann Arbor,MI,Michigan
Anna,IL,Illinois
Anna,OH,Ohio
Anna,TX,Texas
Anna Maria,FL,Florida
Annabella,UT,Utah
Annada,MO,Missouri
Annandale,MN,Minnesota
Annandale,NJ,New Jersey
Annandale,VA,Virginia
Annapolis,IL,Illinois
Annapolis,MD,Maryland
Annapolis,MO,Missouri
Annapolis Neck,MD,Maryland
Annawan,IL,Illinois
Annetta,TX,Texas
Annetta North,TX,Texas
Annetta South,TX,Texas
Annex,OR,Oregon
Anniston,AL,Alabama
Anniston,MO,Missouri
Annona,TX,Texas
Annville,KY,Kentucky
Annville,PA,Pennsylvania
Anoka,MN,Minnesota
Anoka,NE,Nebraska
Anon Raices,PR,Puerto Rico
Anselmo,NE,Nebraska
Ansley,NE,Nebraska
Anson,TX,Texas
Ansonia,CT,Connecticut
Ansonia,OH,Ohio
Ansonville,NC,North Carolina
Ansted,WV,West Virginia
Antares,AZ,Arizona
Antelope,CA,California
Antelope,MT,Montana
Antelope,OR,Oregon
Antelope,SD,South Dakota
Antelope Hills,WY,Wyoming
Anthem,AZ,Arizona
Anthon,IA,Iowa
Anthony,KS,Kansas
Anthony,NM,New Mexico
Anthony,TX,Texas
Anthonyville,AR,Arkansas
Anthoston,KY,Kentucky
Antietam,MD,Maryland
Antigo,WI,Wisconsin
Antimony,UT,Utah
Antioch,CA,California
Antioch,IL,Illinois
Antioch,OH,Ohio
Antler,ND,North Dakota
Antlers,OK,Oklahoma
Antoine,AR,Arkansas
Anton,TX,Texas
Anton Chico,NM,New Mexico
Antonito,CO,Colorado
Antreville,SC,South Carolina
Antwerp,NY,New York
Antwerp,OH,Ohio
Antón Ruíz,PR,Puerto Rico
Anvik,AK,Alaska
Anza,CA,California
Anzac Village,NM,New Mexico
Apache,OK,Oklahoma
Apache Creek,NM,New Mexico
Apache Junction,AZ,Arizona
Apalachicola,FL,Florida
Apalachin,NY,New York
Apex,NC,North Carolina
Apison,TN,Tennessee
Aplington,IA,Iowa
Apollo,PA,Pennsylvania
Apollo Beach,FL,Florida
Apopka,FL,Florida
Appalachia,VA,Virginia
Apple Canyon Lake,IL,Illinois
Apple Creek,OH,Ohio
Apple Grove,WV,West Virginia
Apple Mountain Lake,VA,Virginia
Apple River,IL,Illinois
Apple Valley,CA,California
Apple Valley,MN,Minnesota
Apple Valley,OH,Ohio
Apple Valley,UT,Utah
Appleby,TX,Texas
Applegate,MI,Michigan
Appleton,MN,Minnesota
Appleton,WI,Wisconsin
Appleton City,MO,Missouri
Applewold,PA,Pennsylvania
Applewood,CO,Colorado
Appling,GA,Georgia
Appomattox,VA,Virginia
Aptos,CA,California
Aptos Hills-Larkin Valley,CA,California
Aquadale,NC,North Carolina
Aquasco,MD,Maryland
Aquebogue,NY,New York
Aquia Harbour,VA,Virginia
Aquilla,OH,Ohio
Aquilla,TX,Texas
Arab,AL,Alabama
Arabi,GA,Georgia
Arabi,LA,Louisiana
Aragon,GA,Georgia
Aragon,NM,New Mexico
Aransas Pass,TX,Texas
Arapaho,OK,Oklahoma
Arapahoe,NC,North Carolina
Arapahoe,NE,Nebraska
Arapahoe,WY,Wyoming
Arbela,MO,Missouri
Arboles,CO,Colorado
Arbon Valley,ID,Idaho
Arbovale,WV,West Virginia
Arbuckle,CA,California
Arbutus,MD,Maryland
Arbyrd,MO,Missouri
Arcade,GA,Georgia
Arcade,NY,New York
Arcadia,CA,California
Arcadia,FL,Florida
Arcadia,IA,Iowa
Arcadia,IN,Indiana
Arcadia,KS,Kansas
Arcadia,LA,Louisiana
Arcadia,MI,Michigan
Arcadia,MO,Missouri
Arcadia,NE,Nebraska
Arcadia,OH,Ohio
Arcadia,OK,Oklahoma
Arcadia,SC,South Carolina
Arcadia,WI,Wisconsin
Arcadia Lakes,SC,South Carolina
Arcadia University,PA,Pennsylvania
Arcanum,OH,Ohio
Arcata,CA,California
Archbald,PA,Pennsylvania
Archbold,OH,Ohio
Archdale,NC,North Carolina
Archer,FL,Florida
Archer,IA,Iowa
Archer,NE,Nebraska
Archer City,TX,Texas
Archer Lodge,NC,North Carolina
Archie,MO,Missouri
Arco,ID,Idaho
Arco,MN,Minnesota
Arcola,IL,Illinois
Arcola,MO,Missouri
Arcola,MS,Mississippi
Arcola,TX,Texas
Arcola,VA,Virginia
Arctic Village,AK,Alaska
Arden,DE,Delaware
Arden Hills,MN,Minnesota
Arden on the Severn,MD,Maryland
Arden-Arcade,CA,California
Ardencroft,DE,Delaware
Ardentown,DE,Delaware
Ardmore,AL,Alabama
Ardmore,OK,Oklahoma
Ardmore,PA,Pennsylvania
Ardmore,TN,Tennessee
Ardoch,ND,North Dakota
Ardsley,NY,New York
Arecibo,PR,Puerto Rico
Aredale,IA,Iowa
Arena,WI,Wisconsin
Arenas Valley,NM,New Mexico
Arendtsville,PA,Pennsylvania
Arenzville,IL,Illinois
Argenta,IL,Illinois
Argentine,MI,Michigan
Argo,AL,Alabama
Argonia,KS,Kansas
Argonne,WI,Wisconsin
Argos,IN,Indiana
Argusville,ND,North Dakota
Argyle,GA,Georgia
Argyle,MN,Minnesota
Argyle,MO,Missouri
Argyle,NY,New York
Argyle,TX,Texas
Argyle,WI,Wisconsin
Arial,SC,South Carolina
Arimo,ID,Idaho
Arion,IA,Iowa
Aripeka,FL,Florida
Arispe,IA,Iowa
Aristes,PA,Pennsylvania
Aristocrat Ranchettes,CO,Colorado
Ariton,AL,Alabama
Arivaca,AZ,Arizona
Arivaca Junction,AZ,Arizona
Arizona City,AZ,Arizona
Arizona Village,AZ,Arizona
Arjay,KY,Kentucky
Arkadelphia,AR,Arkansas
Arkansas City,AR,Arkansas
Arkansas City,KS,Kansas
Arkansaw,WI,Wisconsin
Arkdale,WI,Wisconsin
Arkoe,MO,Missouri
Arkoma,OK,Oklahoma
Arkport,NY,New York
Arlee,MT,Montana
Arley,AL,Alabama
Arlington,AZ,Arizona
Arlington,GA,Georgia
Arlington,IA,Iowa
Arlington,IL,Illinois
Arlington,IN,Indiana
Arlington,KS,Kansas
Arlington,KY,Kentucky
Arlington,MN,Minnesota
Arlington,NE,Nebraska
Arlington,NY,New York
Arlington,OH,Ohio
Arlington,OR,Oregon
Arlington,SD,South Dakota
Arlington,TN,Tennessee
Arlington,TX,Texas
Arlington,VA,Virginia
Arlington,WA,Washington
Arlington,WI,Wisconsin
Arlington,WY,Wyoming
Arlington Heights,IL,Illinois
Arlington Heights,OH,Ohio
Arlington Heights,PA,Pennsylvania
Arlington Heights,WA,Washington
Arma,KS,Kansas
Armada,MI,Michigan
Armagh,PA,Pennsylvania
Armington,IL,Illinois
Armona,CA,California
Armonk,NY,New York
Armour,SD,South Dakota
Armstrong,IA,Iowa
Armstrong,MO,Missouri
Armstrong,OK,Oklahoma
Arnaudville,LA,Louisiana
Arnegard,ND,North Dakota
Arnett,OK,Oklahoma
Arnold,CA,California
Arnold,MD,Maryland
Arnold,MO,Missouri
Arnold,NE,Nebraska
Arnold,PA,Pennsylvania
Arnold City,PA,Pennsylvania
Arnold Line,MS,Mississippi
Arnolds Park,IA,Iowa
Arnoldsville,GA,Georgia
Arnot,PA,Pennsylvania
Aroma Park,IL,Illinois
Aromas,CA,California
Arona,PA,Pennsylvania
Arp,TX,Texas
Arpelar,OK,Oklahoma
Arpin,WI,Wisconsin
Arrey,NM,New Mexico
Arriba,CO,Colorado
Arrington,VA,Virginia
Arrow Point,MO,Missouri
Arrow Rock,MO,Missouri
Arrowhead Springs,WY,Wyoming
Arrowsmith,IL,Illinois
Arroyo,PR,Puerto Rico
Arroyo Colorado Estates,TX,Texas
Arroyo Gardens,TX,Texas
Arroyo Grande,CA,California
Arroyo Hondo,NM,New Mexico
Arroyo Seco,NM,New Mexico
Artas,SD,South Dakota
Artemus,KY,Kentucky
Artesia,CA,California
Artesia,MS,Mississippi
Artesia,NM,New Mexico
Artesian,SD,South Dakota
Arthur,IA,Iowa
Arthur,IL,Illinois
Arthur,ND,North Dakota
Arthur,NE,Nebraska
Artois,CA,California
Artondale,WA,Washington
Arvada,CO,Colorado
Arvada,WY,Wyoming
Arvin,CA,California
Asbury,IA,Iowa
Asbury,MO,Missouri
Asbury,NJ,New Jersey
Asbury Lake,FL,Florida
Asbury Park,NJ,New Jersey
Ascutney,VT,Vermont
Ash Flat,AR,Arkansas
Ash Fork,AZ,Arizona
Ash Grove,MO,Missouri
Asharoken,NY,New York
Ashaway,RI,Rhode Island
Ashburn,GA,Georgia
Ashburn,MO,Missouri
Ashburn,VA,Virginia
Ashby,MN,Minnesota
Ashdown,AR,Arkansas
Asheboro,NC,North Carolina
Asher,OK,Oklahoma
Asherton,TX,Texas
Asherville,KS,Kansas
Asheville,NC,North Carolina
Ashford,AL,Alabama
Ashford,WA,Washington
Ashippun,WI,Wisconsin
Ashkum,IL,Illinois
Ashland,AL,Alabama
Ashland,CA,California
Ashland,IL,Illinois
Ashland,KS,Kansas
Ashland,KY,Kentucky
Ashland,LA,Louisiana
Ashland,MO,Missouri
Ashland,MS,Mississippi
Ashland,MT,Montana
Ashland,NE,Nebraska
Ashland,NJ,New Jersey
Ashland,OH,Ohio
Ashland,OK,Oklahoma
Ashland,OR,Oregon
Ashland,PA,Pennsylvania
Ashland,VA,Virginia
Ashland,WI,Wisconsin
Ashland City,TN,Tennessee
Ashland Heights,SD,South Dakota
Ashley,IL,Illinois
Ashley,IN,Indiana
Ashley,MI,Michigan
Ashley,MO,Missouri
Ashley,ND,North Dakota
Ashley,OH,Ohio
Ashley,PA,Pennsylvania
Ashley Heights,NC,North Carolina
Ashmore,IL,Illinois
Ashtabula,OH,Ohio
Ashton,IA,Iowa
Ashton,ID,Idaho
Ashton,IL,Illinois
Ashton,NE,Nebraska
Ashton,SD,South Dakota
Ashton-Sandy Spring,MD,Maryland
Ashville,AL,Alabama
Ashville,OH,Ohio
Ashville,PA,Pennsylvania
Ashwaubenon,WI,Wisconsin
Askewville,NC,North Carolina
Askov,MN,Minnesota
Asotin,WA,Washington
Aspen,CO,Colorado
Aspen Hill,MD,Maryland
Aspen Park,CO,Colorado
Aspen Springs,CA,California
Aspermont,TX,Texas
Aspers,PA,Pennsylvania
